Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,Orig. Scheduled
70,Saturday Jun 25,boxscore,LAD,@,ATL,L,3,5,,44-26,1,up 1.0,Minter,Graterol,Jansen,3:12,N,42161,1.12,-,
71,Sunday Jun 26,boxscore,LAD,@,ATL,W,5,3,11,45-26,1,up 2.0,Kimbrel,O'Day,Graterol,4:23,N,42217,1.17,+,
72,Monday Jun 27,boxscore,LAD,@,COL,L,0,4,,45-27,1,up 1.5,Kuhl,Anderson,,2:19,N,38706,1.10,-,
73,Tuesday Jun 28,boxscore,LAD,@,COL,L,4,7,,45-28,1,up 1.5,Freeland,Kershaw,,2:45,N,36097,1.11,--,
74,Wednesday Jun 29,boxscore,LAD,@,COL,W,8,4,,46-28,1,up 1.5,Urias,Marquez,,2:56,N,37092,1.22,+,
75,Thursday Jun 30,boxscore,LAD,,SDP,W,3,1,,47-28,1,up 2.5,Phillips,Musgrove,Kimbrel,2:50,N,53094,1.51,++,
76,Friday Jul 1,boxscore,LAD,,SDP,W,5,1,,48-28,1,up 3.5,Gonsolin,Stammen,,2:56,N,48076,1.46,+++,
77,Saturday Jul 2,boxscore,LAD,,SDP,W,7,2,,49-28,1,up 4.5,Anderson,Darvish,,3:17,D,47061,1.41,++++,
78,Sunday Jul 3,boxscore,LAD,,SDP,L,2,4,,49-29,1,up 3.5,Martinez,Kimbrel,Rogers,3:12,D,42633,1.33,-,
79,Monday Jul 4,boxscore,LAD,,COL,W,5,3,,50-29,1,up 4.5,Urias,Freeland,Almonte,3:06,N,47163,1.09,+,
80,Tuesday Jul 5,boxscore,LAD,,COL,W,5,2,,51-29,1,up 5.5,Pepiot,Marquez,Graterol,3:00,N,45885,1.02,++,
81,Wednesday Jul 6,boxscore,LAD,,COL,W-wo,2,1,,52-29,1,up 6.0,Kimbrel,Bard,,3:01,N,45098,.93,+++,
82,Thursday Jul 7,boxscore,LAD,,CHC,W,5,3,,53-29,1,up 6.0,Gonsolin,Leiter,Vesia,2:55,N,52072,.85,++++,
83,Friday Jul 8,boxscore,LAD,,CHC,W-wo,4,3,10,54-29,1,up 6.0,Phillips,Wick,,3:01,N,44158,.81,+++++,
84,Saturday Jul 9,boxscore,LAD,,CHC,W,4,2,,55-29,1,up 7.0,Kershaw,Wick,Kimbrel,2:41,N,45198,.78,++++++,
